KGISWardID,KGISWardCode,LGD_WardCode,KGISWardNo,KGISWardName,KGISTownCode,LST_mean_C,NDVI_mean,NDBI_mean,NDWI_mean,valid_pixels
4895,2003010,1303148.0,10,Kempapura,2003,42.08,0.3172,-0.0216,-0.3733,6499
4894,2003009,1303147.0,9,Amrutahalli,2003,42.62,0.2723,0.0089,-0.341,4394
5082,2003103,1302775.0,103,Maruthi Seva Nagar,2003,41.87,0.3394,-0.0346,-0.3878,1989
5270,2003197,1302869.0,197,Shakambari Nagar,2003,40.08,0.3449,-0.0664,-0.3821,2456
5034,2003079,1302751.0,79,Sagayarapuram,2003,42.07,0.2954,-0.0155,-0.347,890
5078,2003101,1302773.0,101,Kammanahalli,2003,42.85,0.2079,0.0363,-0.2743,909
5026,2003075,1302747.0,75,Kushal Nagar,2003,43.02,0.2167,0.0341,-0.2753,995
5079,2003102,1302774.0,102,Lingarajapura,2003,41.82,0.2745,-0.0068,-0.3292,1589
5070,2003097,1302769.0,97,Venkateshpura,2003,43.55,0.2088,0.0531,-0.2721,665
5030,2003077,1302749.0,77,Devara Jeevanahalli,2003,44.42,0.2215,0.0615,-0.285,456
5027,2003076,1302748.0,76,Muneshwara Nagar,2003,44.08,0.2056,0.0599,-0.2645,572
5031,2003078,1302750.0,78,S K Garden,2003,42.75,0.3361,0.0002,-0.3807,1062
5266,2003195,1302867.0,195,Tilak Nagar,2003,42.47,0.2579,0.0026,-0.3071,784
5263,2003194,1302866.0,194,Gurappanapalya,2003,42.42,0.191,0.037,-0.2531,761
5267,2003196,1302868.0,196,Byrasandra,2003,40.15,0.3449,-0.0677,-0.3794,2447
5258,2003191,1302863.0,191,Jakkasandra,2003,41.18,0.3346,-0.0386,-0.3777,1690
5254,2003189,1302861.0,189,Suddagunte Palya,2003,42.28,0.2657,0.0013,-0.3125,1648
5222,2003173,1302845.0,173,Sunkenahalli,2003,41.33,0.2869,-0.0232,-0.3328,1642
5247,2003186,1302858.0,186,Koramangala,2003,40.47,0.358,-0.065,-0.3964,3583
4887,2003006,1303144.0,6,Kogilu,2003,43.19,0.2929,0.0109,-0.366,18072
5215,2003170,1302842.0,170,Azad Nagar,2003,42.76,0.2612,0.01,-0.3036,755
5206,2003165,1302837.0,165,Chamrajapet,2003,42.86,0.2675,0.0075,-0.3125,1722
5067,2003096,1302768.0,96,Kadugondanahalli,2003,43.71,0.2323,0.0413,-0.2924,1454
5095,2003110,1302782.0,110,Whitefield,2003,42.71,0.2993,-0.0023,-0.3602,12206
4935,2003030,1302702.0,30,Herohalli,2003,42.68,0.2758,0.0099,-0.3291,3217
4931,2003028,1302700.0,28,Dodda Bidarakallu,2003,42.19,0.2393,0.0526,-0.3195,3029
6954,2003219,,219,Vasanthpura,2003,42.34,0.3027,-0.0187,-0.3539,3848
6955,2003232,,232,HSR - Singasandra,2003,43.53,0.2375,0.0269,-0.2946,3627
5107,2003116,1302788.0,116,Doddakanahalli,2003,42.02,0.2964,-0.0118,-0.3493,13986
5194,2003159,1302831.0,159,Hampi Nagar,2003,41.09,0.2997,-0.0365,-0.3382,1331
5191,2003158,1302830.0,158,Hosahalli,2003,41.86,0.2409,0.0004,-0.2901,797
5203,2003164,1302836.0,164,Avalahalli,2003,43.11,0.2434,0.0287,-0.2851,1184
5199,2003162,1302834.0,162,Gali Anjenaya Temple ward,2003,42.89,0.2707,0.0107,-0.3101,1300
5202,2003163,1302835.0,163,Veerabhadranagar,2003,43.66,0.261,0.0227,-0.3169,1651
5219,2003172,1302844.0,172,Dharmaraya Swamy Temple Ward,2003,43.2,0.2358,0.0315,-0.2809,1508
5218,2003171,1302843.0,171,Sudham Nagara,2003,43.45,0.2335,0.0348,-0.2793,1185
5235,2003180,1302852.0,180,Agaram,2003,41.28,0.416,-0.041,-0.4559,11381
5094,2003109,1302781.0,109,AECS Layout,2003,42.17,0.2468,0.0016,-0.3064,2668
5091,2003108,1302780.0,108,Dodda Nekkundi,2003,42.23,0.2947,-0.0151,-0.3442,6332
5083,2003104,1302776.0,104,Kadugodi,2003,43.42,0.3281,-0.0106,-0.3952,5964
5086,2003105,1302777.0,105,Belathur,2003,44.1,0.2843,0.0219,-0.357,16063
6956,2003235,,235,Bommanahalli,2003,42.87,0.2069,0.044,-0.2644,1083
6957,2003234,,234,Hongasandra,2003,43.3,0.1871,0.0527,-0.2472,728
6958,2003233,,233,Rupenaagrahara,2003,43.7,0.2361,0.0389,-0.2979,3270
6959,2003237,,237,Bilekhalli,2003,39.16,0.3796,-0.127,-0.387,3115
6960,2003240,,240,Vinayakanagar,2003,41.15,0.3007,-0.0246,-0.3426,2756
6961,2003209,,209,Hosakerehalli,2003,41.87,0.2395,0.0056,-0.2931,991
6962,2003207,,207,Kamakya Nagar,2003,42.42,0.228,0.0027,-0.2841,864
6963,2003208,,208,Deen Dayalu Ward,2003,41.49,0.2404,-0.0026,-0.2922,878
5066,2003095,1302767.0,95,Nagavara,2003,44.17,0.1894,0.0651,-0.257,1065
4907,2003016,1303154.0,16,Kammagondanahalli,2003,40.56,0.2789,0.0333,-0.3584,3091
5127,2003126,1302798.0,126,Ramaswamy Palya,2003,40.73,0.2983,-0.0239,-0.3477,1064
5130,2003127,1302799.0,127,Jayamahal,2003,40.67,0.3629,-0.0532,-0.3933,1511
5131,2003128,1302800.0,128,Vasanth Nagar,2003,39.95,0.4072,-0.0936,-0.4293,4840
5255,2003190,1302862.0,190,Madivala,2003,41.74,0.2576,0.0009,-0.2995,1139
