Feature,Permutation_Importance_Mean,Permutation_Importance_SD
NDBI_mean,0.5508352268420713,0.07765072184387016
NDWI_mean,0.01988005225595627,0.02590456450220354
NDVI_mean,0.00202031689869873,0.012410652433898602
